ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Aravalli_west_thorn_scrub_forests,0.8421052631578947,0.0,0.9411764705882353,19,2,17
Central_Deccan_Plateau_dry_deciduous_forests,0.9333333333333333,1.0,0.9166666666666666,15,3,12
Deccan_thorn_scrub_forests,1.0,0.0,1.0,21,0,21
East_Deccan_moist_deciduous_forests,1.0,1.0,1.0,20,4,16
Karakoram_West_Tibetan_Plateau_alpine_steppe,1.0,1.0,1.0,144,143,1
Khathiar_Gir_dry_deciduous_forests,0.9166666666666666,0.0,1.0,12,1,11
Malabar_Coast_moist_forests,0.9545454545454546,0.0,0.9545454545454546,22,0,22
Northwestern_Himalayan_alpine_shrub_and_meadows,1.0,1.0,1.0,20,19,1
South_Deccan_Plateau_dry_deciduous_forests,0.9523809523809523,0.0,0.9523809523809523,21,0,21
South_Western_Ghats_montane_rain_forests,0.9,0.5,1.0,10,2,8
Upper_Gangetic_Plains_moist_deciduous_forests,1.0,1.0,1.0,18,6,12
Western_Himalayan_broadleaf_forests,1.0,1.0,1.0,18,13,5
