model_loss,error,accuracy,precision,recall,f1,tpr,tnr,optimal_threshold
Random_Forest_Original_Loss,'precision',,,,,,,
Random_Forest_Dice_Loss,,0.947368421,0.984732824,0.908450704,0.945054945,0.908450704,0.986013986,0.563157895
Random_Forest_Focal_Loss,,0.947368421,0.984732824,0.908450704,0.945054945,0.908450704,0.986013986,0.563157895
Random_Forest_Tversky_Loss,,0.943859649,0.970149254,0.915492958,0.942028986,0.915492958,0.972027972,0.521052632
Logistic_Regression_Original_Loss,'precision',,,,,,,
Logistic_Regression_Dice_Loss,,0.771929825,0.853211009,0.654929577,0.741035857,0.654929577,0.888111888,0.521052632
Logistic_Regression_Focal_Loss,,0.519298246,1,0.035211268,0.068027211,0.035211268,1,0.773684211
Logistic_Regression_Tversky_Loss,,0.529824561,0.51459854,0.992957746,0.677884615,0.992957746,0.06993007,0.268421053
Weighted_Logistic_Regression_Original_Loss,'precision',,,,,,,
Weighted_Logistic_Regression_Dice_Loss,,0.585964912,0.555555556,0.845070423,0.670391061,0.845070423,0.328671329,0.689473684
Weighted_Logistic_Regression_Focal_Loss,,0.589473684,0.61682243,0.464788732,0.530120482,0.464788732,0.713286713,0.9
Weighted_Logistic_Regression_Tversky_Loss,,0.50877193,0.503571429,0.992957746,0.668246445,0.992957746,0.027972028,0.352631579
