ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Aravalli_west_thorn_scrub_forests,0.6428571428571429,1.0,0.2857142857142857,14,7,7
Central_Deccan_Plateau_dry_deciduous_forests,0.7272727272727273,1.0,0.35714285714285715,33,19,14
Deccan_thorn_scrub_forests,0.5925925925925926,0.8571428571428571,0.3076923076923077,27,14,13
East_Deccan_moist_deciduous_forests,0.5,1.0,0.3076923076923077,18,5,13
Khathiar_Gir_dry_deciduous_forests,0.9333333333333333,1.0,0.8,30,20,10
Lower_Gangetic_Plains_moist_deciduous_forests,0.6521739130434783,1.0,0.42857142857142855,23,9,14
Malabar_Coast_moist_forests,0.4864864864864865,0.09090909090909091,0.6538461538461539,37,11,26
Narmada_Valley_dry_deciduous_forests,0.782608695652174,1.0,0.16666666666666666,23,17,6
North_Western_Ghats_moist_deciduous_forests,0.6666666666666666,0.6363636363636364,0.75,15,11,4
South_Deccan_Plateau_dry_deciduous_forests,0.5357142857142857,0.7857142857142857,0.2857142857142857,28,14,14
South_Western_Ghats_moist_deciduous_forests,0.7272727272727273,1.0,0.4,11,6,5
South_Western_Ghats_montane_rain_forests,0.5882352941176471,1.0,0.4166666666666667,17,5,12
Upper_Gangetic_Plains_moist_deciduous_forests,0.5,1.0,0.09090909090909091,20,9,11
