ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Aravalli_west_thorn_scrub_forests,0.9285714285714286,1.0,0.8571428571428571,14,7,7
Central_Deccan_Plateau_dry_deciduous_forests,0.9393939393939394,0.9473684210526315,0.9285714285714286,33,19,14
Deccan_thorn_scrub_forests,0.8888888888888888,0.9285714285714286,0.8461538461538461,27,14,13
East_Deccan_moist_deciduous_forests,0.8333333333333334,1.0,0.7692307692307693,18,5,13
Khathiar_Gir_dry_deciduous_forests,1.0,1.0,1.0,30,20,10
Lower_Gangetic_Plains_moist_deciduous_forests,0.8695652173913043,1.0,0.7857142857142857,23,9,14
Malabar_Coast_moist_forests,0.8918918918918919,0.9090909090909091,0.8846153846153846,37,11,26
Narmada_Valley_dry_deciduous_forests,0.9130434782608695,1.0,0.6666666666666666,23,17,6
North_Western_Ghats_moist_deciduous_forests,0.9333333333333333,0.9090909090909091,1.0,15,11,4
South_Deccan_Plateau_dry_deciduous_forests,0.8928571428571429,0.8571428571428571,0.9285714285714286,28,14,14
South_Western_Ghats_moist_deciduous_forests,0.9090909090909091,1.0,0.8,11,6,5
South_Western_Ghats_montane_rain_forests,0.8235294117647058,0.8,0.8333333333333334,17,5,12
Upper_Gangetic_Plains_moist_deciduous_forests,0.65,0.6666666666666666,0.6363636363636364,20,9,11
