ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Aravalli_west_thorn_scrub_forests,0.9285714285714286,1.0,0.8571428571428571,14,7,7
Central_Deccan_Plateau_dry_deciduous_forests,1.0,1.0,1.0,33,19,14
Deccan_thorn_scrub_forests,0.9629629629629629,0.9285714285714286,1.0,27,14,13
East_Deccan_moist_deciduous_forests,0.9444444444444444,1.0,0.9230769230769231,18,5,13
Khathiar_Gir_dry_deciduous_forests,1.0,1.0,1.0,30,20,10
Lower_Gangetic_Plains_moist_deciduous_forests,0.9130434782608695,0.8888888888888888,0.9285714285714286,23,9,14
Malabar_Coast_moist_forests,0.972972972972973,0.9090909090909091,1.0,37,11,26
Narmada_Valley_dry_deciduous_forests,0.9565217391304348,1.0,0.8333333333333334,23,17,6
North_Western_Ghats_moist_deciduous_forests,1.0,1.0,1.0,15,11,4
South_Deccan_Plateau_dry_deciduous_forests,0.9285714285714286,0.9285714285714286,0.9285714285714286,28,14,14
South_Western_Ghats_moist_deciduous_forests,1.0,1.0,1.0,11,6,5
South_Western_Ghats_montane_rain_forests,1.0,1.0,1.0,17,5,12
Upper_Gangetic_Plains_moist_deciduous_forests,0.85,0.8888888888888888,0.8181818181818182,20,9,11
