model_loss,error,accuracy,precision,recall,f1,tpr,tnr,optimal_threshold
Random_Forest_Original_Loss,'precision',,,,,,,
Random_Forest_Dice_Loss,,0.922184300341297,0.9598214285714286,0.8811475409836066,0.9188034188034188,0.8811475409836066,0.9631650750341064,0.6052631578947368
Random_Forest_Focal_Loss,,0.9078498293515358,0.9837925445705025,0.8292349726775956,0.8999258710155671,0.8292349726775956,0.9863574351978172,0.9
Random_Forest_Tversky_Loss,,0.9228668941979522,0.9768875192604006,0.8661202185792349,0.9181752353367125,0.8661202185792349,0.9795361527967258,0.731578947368421
Logistic_Regression_Original_Loss,'precision',,,,,,,
Logistic_Regression_Dice_Loss,,0.7911262798634813,0.7669172932330827,0.8360655737704918,0.8,0.8360655737704918,0.7462482946793997,0.4368421052631579
Logistic_Regression_Focal_Loss,,0.5836177474402731,0.9841269841269841,0.16939890710382513,0.289044289044289,0.16939890710382513,0.9972714870395635,0.9
Logistic_Regression_Tversky_Loss,,0.7986348122866894,0.8484848484848485,0.726775956284153,0.7829286239882266,0.726775956284153,0.8703956343792633,0.5631578947368421
Weighted_Logistic_Regression_Original_Loss,'precision',,,,,,,
Weighted_Logistic_Regression_Dice_Loss,,0.7924914675767918,0.8451612903225807,0.7158469945355191,0.7751479289940828,0.7158469945355191,0.869031377899045,0.8578947368421053
Weighted_Logistic_Regression_Focal_Loss,,0.7508532423208191,0.8997821350762527,0.5642076502732241,0.6935348446683459,0.5642076502732241,0.937244201909959,0.9
Weighted_Logistic_Regression_Tversky_Loss,,0.7924914675767918,0.8451612903225807,0.7158469945355191,0.7751479289940828,0.7158469945355191,0.869031377899045,0.8578947368421053
