model_loss,error,accuracy,precision,recall,f1,tpr,tnr,optimal_threshold
Random_Forest_Original_Loss,'precision',,,,,,,
Random_Forest_Dice_Loss,,0.6481481481481481,0.6153846153846154,0.8571428571428571,0.7164179104477612,0.8571428571428571,0.4230769230769231,0.26842105263157895
Random_Forest_Focal_Loss,,0.7222222222222222,0.8823529411764706,0.5357142857142857,0.6666666666666666,0.5357142857142857,0.9230769230769231,0.9
Random_Forest_Tversky_Loss,,0.5555555555555556,0.5384615384615384,1.0,0.7,1.0,0.07692307692307693,0.1
Logistic_Regression_Original_Loss,'precision',,,,,,,
Logistic_Regression_Dice_Loss,,0.6481481481481481,0.6097560975609756,0.8928571428571429,0.7246376811594203,0.8928571428571429,0.38461538461538464,0.3526315789473684
Logistic_Regression_Focal_Loss,,0.48148148148148145,0.0,0.0,0.0,0.0,1.0,0.7736842105263158
Logistic_Regression_Tversky_Loss,,0.6481481481481481,0.6097560975609756,0.8928571428571429,0.7246376811594203,0.8928571428571429,0.38461538461538464,0.3526315789473684
Weighted_Logistic_Regression_Original_Loss,'precision',,,,,,,
Weighted_Logistic_Regression_Dice_Loss,,0.6296296296296297,0.5909090909090909,0.9285714285714286,0.7222222222222222,0.9285714285714286,0.3076923076923077,0.5631578947368421
Weighted_Logistic_Regression_Focal_Loss,,0.6111111111111112,0.64,0.5714285714285714,0.6037735849056604,0.5714285714285714,0.6538461538461539,0.9
Weighted_Logistic_Regression_Tversky_Loss,,0.5925925925925926,0.5625,0.9642857142857143,0.7105263157894737,0.9642857142857143,0.19230769230769232,0.4789473684210527
