ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Aravalli_west_thorn_scrub_forests,0.6129032258064516,0.0,0.6909090909090909,62,7,55
Brahmaputra_Valley_semi_evergreen_forests,0.68,0.8888888888888888,0.5625,25,9,16
Central_Deccan_Plateau_dry_deciduous_forests,0.46774193548387094,0.0,0.6904761904761905,124,40,84
Chhota_Nagpur_dry_deciduous_forests,0.6666666666666666,0.0,0.8181818181818182,27,5,22
Deccan_thorn_scrub_forests,0.5286624203821656,0.05263157894736842,0.680672268907563,157,38,119
East_Deccan_dry_evergreen_forests,0.7796610169491526,0.9333333333333333,0.6206896551724138,59,30,29
East_Deccan_moist_deciduous_forests,0.5252525252525253,0.03225806451612903,0.75,99,31,68
Himalayan_subtropical_pine_forests,0.4782608695652174,0.0,0.5789473684210527,23,4,19
Khathiar_Gir_dry_deciduous_forests,0.45555555555555555,0.0,0.7735849056603774,90,37,53
Lower_Gangetic_Plains_moist_deciduous_forests,0.7352941176470589,0.47619047619047616,0.851063829787234,68,21,47
Malabar_Coast_moist_forests,0.8782608695652174,1.0,0.44370860927152317,690,539,151
Mizoram_Manipur_Kachin_rain_forests,0.7777777777777778,1.0,0.5,18,10,8
Narmada_Valley_dry_deciduous_forests,0.3698630136986301,0.16666666666666666,0.5675675675675675,73,36,37
North_Deccan_dry_deciduous_forests,0.6428571428571429,0.0,0.8181818181818182,14,3,11
North_Western_Ghats_moist_deciduous_forests,0.5833333333333334,0.8571428571428571,0.4090909090909091,36,14,22
North_Western_Ghats_montane_rain_forests,0.7241379310344828,1.0,0.5789473684210527,29,10,19
Orissa_semi_evergreen_forests,0.6410256410256411,0.7777777777777778,0.5238095238095238,39,18,21
South_Deccan_Plateau_dry_deciduous_forests,0.4666666666666667,0.11764705882352941,0.6464646464646465,150,51,99
South_Western_Ghats_moist_deciduous_forests,0.8617886178861789,0.92,0.6086956521739131,123,100,23
South_Western_Ghats_montane_rain_forests,0.85,1.0,0.6052631578947368,100,62,38
Sundarbans_freshwater_swamp_forests,0.47619047619047616,0.2,0.7272727272727273,21,10,11
Terai_Duar_savanna_and_grasslands,0.5,0.3333333333333333,0.5555555555555556,12,3,9
Upper_Gangetic_Plains_moist_deciduous_forests,0.6,0.0,0.76,95,20,75
Western_Himalayan_broadleaf_forests,0.6818181818181818,0.0,0.6818181818181818,22,0,22
