ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Aravalli_west_thorn_scrub_forests,0.9032258064516129,0.7142857142857143,0.9272727272727272,62,7,55
Brahmaputra_Valley_semi_evergreen_forests,0.88,0.7777777777777778,0.9375,25,9,16
Central_Deccan_Plateau_dry_deciduous_forests,0.9596774193548387,0.9,0.9880952380952381,124,40,84
Chhota_Nagpur_dry_deciduous_forests,0.8518518518518519,1.0,0.8181818181818182,27,5,22
Deccan_thorn_scrub_forests,0.9044585987261147,0.9210526315789473,0.8991596638655462,157,38,119
East_Deccan_dry_evergreen_forests,0.8983050847457628,0.9,0.896551724137931,59,30,29
East_Deccan_moist_deciduous_forests,0.8787878787878788,0.8709677419354839,0.8823529411764706,99,31,68
Himalayan_subtropical_pine_forests,0.9565217391304348,1.0,0.9473684210526315,23,4,19
Khathiar_Gir_dry_deciduous_forests,0.9,0.8648648648648649,0.9245283018867925,90,37,53
Lower_Gangetic_Plains_moist_deciduous_forests,0.9264705882352942,0.9047619047619048,0.9361702127659575,68,21,47
Malabar_Coast_moist_forests,0.991304347826087,0.9962894248608535,0.9735099337748344,690,539,151
Mizoram_Manipur_Kachin_rain_forests,0.8333333333333334,0.7,1.0,18,10,8
Narmada_Valley_dry_deciduous_forests,0.9452054794520548,0.9166666666666666,0.972972972972973,73,36,37
North_Deccan_dry_deciduous_forests,0.9285714285714286,0.6666666666666666,1.0,14,3,11
North_Western_Ghats_moist_deciduous_forests,0.9444444444444444,1.0,0.9090909090909091,36,14,22
North_Western_Ghats_montane_rain_forests,0.7931034482758621,0.8,0.7894736842105263,29,10,19
Orissa_semi_evergreen_forests,0.9230769230769231,0.9444444444444444,0.9047619047619048,39,18,21
South_Deccan_Plateau_dry_deciduous_forests,0.9333333333333333,0.9411764705882353,0.9292929292929293,150,51,99
South_Western_Ghats_moist_deciduous_forests,0.975609756097561,0.97,1.0,123,100,23
South_Western_Ghats_montane_rain_forests,0.95,0.9354838709677419,0.9736842105263158,100,62,38
Sundarbans_freshwater_swamp_forests,0.8571428571428571,0.8,0.9090909090909091,21,10,11
Terai_Duar_savanna_and_grasslands,0.9166666666666666,1.0,0.8888888888888888,12,3,9
Upper_Gangetic_Plains_moist_deciduous_forests,0.968421052631579,1.0,0.96,95,20,75
Western_Himalayan_broadleaf_forests,0.9545454545454546,0.0,0.9545454545454546,22,0,22
