ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Aravalli_west_thorn_scrub_forests,0.967741935483871,0.8571428571428571,0.9818181818181818,62,7,55
Brahmaputra_Valley_semi_evergreen_forests,1.0,1.0,1.0,25,9,16
Central_Deccan_Plateau_dry_deciduous_forests,1.0,1.0,1.0,124,40,84
Chhota_Nagpur_dry_deciduous_forests,0.9629629629629629,1.0,0.9545454545454546,27,5,22
Deccan_thorn_scrub_forests,0.9617834394904459,0.9473684210526315,0.9663865546218487,157,38,119
East_Deccan_dry_evergreen_forests,1.0,1.0,1.0,59,30,29
East_Deccan_moist_deciduous_forests,0.9797979797979798,1.0,0.9705882352941176,99,31,68
Himalayan_subtropical_pine_forests,0.9565217391304348,1.0,0.9473684210526315,23,4,19
Khathiar_Gir_dry_deciduous_forests,0.9777777777777777,0.972972972972973,0.9811320754716981,90,37,53
Lower_Gangetic_Plains_moist_deciduous_forests,1.0,1.0,1.0,68,21,47
Malabar_Coast_moist_forests,0.9956521739130435,1.0,0.9801324503311258,690,539,151
Mizoram_Manipur_Kachin_rain_forests,0.8888888888888888,0.8,1.0,18,10,8
Narmada_Valley_dry_deciduous_forests,0.9863013698630136,0.9722222222222222,1.0,73,36,37
North_Deccan_dry_deciduous_forests,1.0,1.0,1.0,14,3,11
North_Western_Ghats_moist_deciduous_forests,0.9722222222222222,1.0,0.9545454545454546,36,14,22
North_Western_Ghats_montane_rain_forests,0.9655172413793104,0.9,1.0,29,10,19
Orissa_semi_evergreen_forests,1.0,1.0,1.0,39,18,21
South_Deccan_Plateau_dry_deciduous_forests,0.98,0.9803921568627451,0.9797979797979798,150,51,99
South_Western_Ghats_moist_deciduous_forests,0.983739837398374,0.98,1.0,123,100,23
South_Western_Ghats_montane_rain_forests,1.0,1.0,1.0,100,62,38
Sundarbans_freshwater_swamp_forests,1.0,1.0,1.0,21,10,11
Terai_Duar_savanna_and_grasslands,1.0,1.0,1.0,12,3,9
Upper_Gangetic_Plains_moist_deciduous_forests,0.9894736842105263,1.0,0.9866666666666667,95,20,75
Western_Himalayan_broadleaf_forests,1.0,0.0,1.0,22,0,22
