ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Aravalli_west_thorn_scrub_forests,0.8870967741935484,1.0,0.8727272727272727,62,7,55
Brahmaputra_Valley_semi_evergreen_forests,0.92,1.0,0.875,25,9,16
Central_Deccan_Plateau_dry_deciduous_forests,0.9758064516129032,0.95,0.9880952380952381,124,40,84
Chhota_Nagpur_dry_deciduous_forests,0.9259259259259259,1.0,0.9090909090909091,27,5,22
Deccan_thorn_scrub_forests,0.9426751592356688,0.9473684210526315,0.9411764705882353,157,38,119
East_Deccan_dry_evergreen_forests,0.9661016949152542,0.9333333333333333,1.0,59,30,29
East_Deccan_moist_deciduous_forests,0.9191919191919192,0.9032258064516129,0.9264705882352942,99,31,68
Himalayan_subtropical_pine_forests,0.8695652173913043,0.5,0.9473684210526315,23,4,19
Khathiar_Gir_dry_deciduous_forests,0.9666666666666667,0.972972972972973,0.9622641509433962,90,37,53
Lower_Gangetic_Plains_moist_deciduous_forests,1.0,1.0,1.0,68,21,47
Malabar_Coast_moist_forests,0.9826086956521739,0.9944341372912802,0.9403973509933775,690,539,151
Mizoram_Manipur_Kachin_rain_forests,0.8333333333333334,0.7,1.0,18,10,8
Narmada_Valley_dry_deciduous_forests,0.9452054794520548,0.9444444444444444,0.9459459459459459,73,36,37
North_Deccan_dry_deciduous_forests,0.9285714285714286,0.6666666666666666,1.0,14,3,11
North_Western_Ghats_moist_deciduous_forests,0.8611111111111112,0.7857142857142857,0.9090909090909091,36,14,22
North_Western_Ghats_montane_rain_forests,1.0,1.0,1.0,29,10,19
Orissa_semi_evergreen_forests,0.9487179487179487,0.9444444444444444,0.9523809523809523,39,18,21
South_Deccan_Plateau_dry_deciduous_forests,0.9533333333333334,0.9215686274509803,0.9696969696969697,150,51,99
South_Western_Ghats_moist_deciduous_forests,0.967479674796748,0.96,1.0,123,100,23
South_Western_Ghats_montane_rain_forests,0.94,0.9354838709677419,0.9473684210526315,100,62,38
Sundarbans_freshwater_swamp_forests,0.9523809523809523,1.0,0.9090909090909091,21,10,11
Terai_Duar_savanna_and_grasslands,0.9166666666666666,1.0,0.8888888888888888,12,3,9
Upper_Gangetic_Plains_moist_deciduous_forests,0.9368421052631579,0.95,0.9333333333333333,95,20,75
Western_Himalayan_broadleaf_forests,1.0,0.0,1.0,22,0,22
