ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Andaman_Islands_rain_forests,1.0,1.0,1.0,10,8,2
Aravalli_west_thorn_scrub_forests,0.9557522123893806,0.875,0.9619047619047619,113,8,105
Brahmaputra_Valley_semi_evergreen_forests,1.0,1.0,1.0,26,5,21
Central_Deccan_Plateau_dry_deciduous_forests,0.9607843137254902,0.9574468085106383,0.9636363636363636,102,47,55
Chhota_Nagpur_dry_deciduous_forests,0.8571428571428571,1.0,0.8,28,8,20
Deccan_thorn_scrub_forests,0.9320987654320988,0.8333333333333334,0.9545454545454546,162,30,132
East_Deccan_dry_evergreen_forests,0.9347826086956522,0.918918918918919,1.0,46,37,9
East_Deccan_moist_deciduous_forests,0.9508196721311475,0.9310344827586207,0.956989247311828,122,29,93
Eastern_Himalayan_broadleaf_forests,0.9333333333333333,0.0,0.9333333333333333,15,0,15
Himalayan_subtropical_pine_forests,0.9555555555555556,0.5,0.9767441860465116,45,2,43
Karakoram_West_Tibetan_Plateau_alpine_steppe,1.0,0.0,1.0,21,0,21
Khathiar_Gir_dry_deciduous_forests,0.9223300970873787,0.8611111111111112,0.9552238805970149,103,36,67
Lower_Gangetic_Plains_moist_deciduous_forests,0.8840579710144928,1.0,0.8222222222222222,69,24,45
Malabar_Coast_moist_forests,0.998324958123953,0.998272884283247,1.0,597,579,18
Meghalaya_subtropical_forests,0.9166666666666666,1.0,0.9090909090909091,24,2,22
Mizoram_Manipur_Kachin_rain_forests,1.0,1.0,1.0,19,7,12
Narmada_Valley_dry_deciduous_forests,1.0,1.0,1.0,54,27,27
North_Deccan_dry_deciduous_forests,0.8666666666666667,1.0,0.8,15,5,10
North_Western_Ghats_moist_deciduous_forests,0.9069767441860465,0.9230769230769231,0.9,43,13,30
North_Western_Ghats_montane_rain_forests,0.9772727272727273,0.9230769230769231,1.0,44,13,31
Orissa_semi_evergreen_forests,0.9375,0.9333333333333333,1.0,16,15,1
South_Deccan_Plateau_dry_deciduous_forests,0.9272727272727272,0.9024390243902439,0.9420289855072463,110,41,69
South_Western_Ghats_moist_deciduous_forests,0.9603960396039604,0.9529411764705882,1.0,101,85,16
South_Western_Ghats_montane_rain_forests,0.953125,0.96,0.9285714285714286,64,50,14
Sundarbans_freshwater_swamp_forests,1.0,1.0,1.0,10,7,3
Thar_desert,1.0,0.0,1.0,16,0,16
Upper_Gangetic_Plains_moist_deciduous_forests,0.9754098360655737,0.9565217391304348,0.9797979797979798,122,23,99
Western_Himalayan_alpine_shrub_and_meadows,1.0,0.0,1.0,12,0,12
Western_Himalayan_broadleaf_forests,0.9272727272727272,0.0,0.9444444444444444,55,1,54
