ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Andaman_Islands_rain_forests,0.9,1.0,0.5,10,8,2
Aravalli_west_thorn_scrub_forests,0.9557522123893806,1.0,0.9523809523809523,113,8,105
Brahmaputra_Valley_semi_evergreen_forests,0.9615384615384616,1.0,0.9523809523809523,26,5,21
Central_Deccan_Plateau_dry_deciduous_forests,0.9705882352941176,0.9787234042553191,0.9636363636363636,102,47,55
Chhota_Nagpur_dry_deciduous_forests,0.8928571428571429,0.875,0.9,28,8,20
Deccan_thorn_scrub_forests,0.9320987654320988,0.8,0.9621212121212122,162,30,132
East_Deccan_dry_evergreen_forests,0.9347826086956522,0.918918918918919,1.0,46,37,9
East_Deccan_moist_deciduous_forests,0.9672131147540983,0.9655172413793104,0.967741935483871,122,29,93
Eastern_Himalayan_broadleaf_forests,0.9333333333333333,0.0,0.9333333333333333,15,0,15
Himalayan_subtropical_pine_forests,0.9555555555555556,0.5,0.9767441860465116,45,2,43
Karakoram_West_Tibetan_Plateau_alpine_steppe,1.0,0.0,1.0,21,0,21
Khathiar_Gir_dry_deciduous_forests,0.9805825242718447,0.9722222222222222,0.9850746268656716,103,36,67
Lower_Gangetic_Plains_moist_deciduous_forests,0.9130434782608695,0.7916666666666666,0.9777777777777777,69,24,45
Malabar_Coast_moist_forests,0.9916247906197655,0.9930915371329879,0.9444444444444444,597,579,18
Meghalaya_subtropical_forests,0.8333333333333334,0.5,0.8636363636363636,24,2,22
Mizoram_Manipur_Kachin_rain_forests,0.8947368421052632,0.8571428571428571,0.9166666666666666,19,7,12
Narmada_Valley_dry_deciduous_forests,0.9629629629629629,0.9259259259259259,1.0,54,27,27
North_Deccan_dry_deciduous_forests,0.9333333333333333,1.0,0.9,15,5,10
North_Western_Ghats_moist_deciduous_forests,0.9767441860465116,1.0,0.9666666666666667,43,13,30
North_Western_Ghats_montane_rain_forests,0.9090909090909091,0.9230769230769231,0.9032258064516129,44,13,31
Orissa_semi_evergreen_forests,0.9375,0.9333333333333333,1.0,16,15,1
South_Deccan_Plateau_dry_deciduous_forests,0.9363636363636364,0.9024390243902439,0.9565217391304348,110,41,69
South_Western_Ghats_moist_deciduous_forests,0.9504950495049505,0.9764705882352941,0.8125,101,85,16
South_Western_Ghats_montane_rain_forests,0.953125,0.96,0.9285714285714286,64,50,14
Sundarbans_freshwater_swamp_forests,1.0,1.0,1.0,10,7,3
Thar_desert,0.9375,0.0,0.9375,16,0,16
Upper_Gangetic_Plains_moist_deciduous_forests,0.9590163934426229,1.0,0.9494949494949495,122,23,99
Western_Himalayan_alpine_shrub_and_meadows,0.8333333333333334,0.0,0.8333333333333334,12,0,12
Western_Himalayan_broadleaf_forests,0.9090909090909091,0.0,0.9259259259259259,55,1,54
