ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Andaman_Islands_rain_forests,0.8,1.0,0.0,10,8,2
Aravalli_west_thorn_scrub_forests,0.7433628318584071,0.0,0.8,113,8,105
Brahmaputra_Valley_semi_evergreen_forests,0.6923076923076923,1.0,0.6190476190476191,26,5,21
Central_Deccan_Plateau_dry_deciduous_forests,0.45098039215686275,0.0,0.8363636363636363,102,47,55
Chhota_Nagpur_dry_deciduous_forests,0.5357142857142857,0.0,0.75,28,8,20
Deccan_thorn_scrub_forests,0.6666666666666666,0.13333333333333333,0.7878787878787878,162,30,132
East_Deccan_dry_evergreen_forests,0.8478260869565217,0.8378378378378378,0.8888888888888888,46,37,9
East_Deccan_moist_deciduous_forests,0.6557377049180327,0.2413793103448276,0.7849462365591398,122,29,93
Eastern_Himalayan_broadleaf_forests,0.6666666666666666,0.0,0.6666666666666666,15,0,15
Himalayan_subtropical_pine_forests,0.7555555555555555,1.0,0.7441860465116279,45,2,43
Karakoram_West_Tibetan_Plateau_alpine_steppe,0.6666666666666666,0.0,0.6666666666666666,21,0,21
Khathiar_Gir_dry_deciduous_forests,0.5048543689320388,0.0,0.7761194029850746,103,36,67
Lower_Gangetic_Plains_moist_deciduous_forests,0.7391304347826086,0.6666666666666666,0.7777777777777778,69,24,45
Malabar_Coast_moist_forests,0.983249581239531,1.0,0.4444444444444444,597,579,18
Meghalaya_subtropical_forests,0.375,1.0,0.3181818181818182,24,2,22
Mizoram_Manipur_Kachin_rain_forests,0.6842105263157895,1.0,0.5,19,7,12
Narmada_Valley_dry_deciduous_forests,0.46296296296296297,0.14814814814814814,0.7777777777777778,54,27,27
North_Deccan_dry_deciduous_forests,0.6666666666666666,0.0,1.0,15,5,10
North_Western_Ghats_moist_deciduous_forests,0.7674418604651163,0.6923076923076923,0.8,43,13,30
North_Western_Ghats_montane_rain_forests,0.7727272727272727,1.0,0.6774193548387096,44,13,31
Orissa_semi_evergreen_forests,1.0,1.0,1.0,16,15,1
South_Deccan_Plateau_dry_deciduous_forests,0.6,0.17073170731707318,0.855072463768116,110,41,69
South_Western_Ghats_moist_deciduous_forests,0.8712871287128713,0.9529411764705882,0.4375,101,85,16
South_Western_Ghats_montane_rain_forests,0.921875,1.0,0.6428571428571429,64,50,14
Sundarbans_freshwater_swamp_forests,0.7,0.5714285714285714,1.0,10,7,3
Thar_desert,0.8125,0.0,0.8125,16,0,16
Upper_Gangetic_Plains_moist_deciduous_forests,0.6885245901639344,0.2608695652173913,0.7878787878787878,122,23,99
Western_Himalayan_alpine_shrub_and_meadows,0.5833333333333334,0.0,0.5833333333333334,12,0,12
Western_Himalayan_broadleaf_forests,0.6545454545454545,1.0,0.6481481481481481,55,1,54
