ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Aravalli_west_thorn_scrub_forests,0.8,1.0,0.7727272727272727,25,3,22
Brahmaputra_Valley_semi_evergreen_forests,0.75,1.0,0.25,12,8,4
Central_Deccan_Plateau_dry_deciduous_forests,0.6875,0.6,0.75,48,20,28
Chhota_Nagpur_dry_deciduous_forests,0.5,0.3333333333333333,0.5714285714285714,10,3,7
Deccan_thorn_scrub_forests,0.6153846153846154,0.36363636363636365,0.6829268292682927,52,11,41
East_Deccan_dry_evergreen_forests,0.5882352941176471,0.5555555555555556,0.625,17,9,8
East_Deccan_moist_deciduous_forests,0.7586206896551724,0.875,0.6153846153846154,29,16,13
Khathiar_Gir_dry_deciduous_forests,0.4583333333333333,0.25,0.75,48,28,20
Lower_Gangetic_Plains_moist_deciduous_forests,0.7222222222222222,1.0,0.4444444444444444,18,9,9
Malabar_Coast_moist_forests,0.7720588235294118,1.0,0.40384615384615385,136,84,52
Narmada_Valley_dry_deciduous_forests,0.7419354838709677,0.9411764705882353,0.5,31,17,14
North_Western_Ghats_moist_deciduous_forests,0.7647058823529411,1.0,0.6363636363636364,17,6,11
North_Western_Ghats_montane_rain_forests,0.8709677419354839,1.0,0.5555555555555556,31,22,9
Orissa_semi_evergreen_forests,0.8,1.0,0.6,10,5,5
South_Deccan_Plateau_dry_deciduous_forests,0.6923076923076923,0.9642857142857143,0.4864864864864865,65,28,37
South_Western_Ghats_moist_deciduous_forests,0.9090909090909091,1.0,0.625,33,25,8
South_Western_Ghats_montane_rain_forests,0.896551724137931,1.0,0.5714285714285714,58,44,14
Sundarbans_freshwater_swamp_forests,1.0,1.0,1.0,12,8,4
Upper_Gangetic_Plains_moist_deciduous_forests,0.6333333333333333,0.6666666666666666,0.6190476190476191,30,9,21
Western_Himalayan_broadleaf_forests,0.4,0.0,0.4,10,0,10
