ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Aravalli_west_thorn_scrub_forests,1.0,1.0,1.0,25,3,22
Brahmaputra_Valley_semi_evergreen_forests,1.0,1.0,1.0,12,8,4
Central_Deccan_Plateau_dry_deciduous_forests,0.9583333333333334,0.9,1.0,48,20,28
Chhota_Nagpur_dry_deciduous_forests,1.0,1.0,1.0,10,3,7
Deccan_thorn_scrub_forests,0.9807692307692307,1.0,0.975609756097561,52,11,41
East_Deccan_dry_evergreen_forests,0.8823529411764706,1.0,0.75,17,9,8
East_Deccan_moist_deciduous_forests,1.0,1.0,1.0,29,16,13
Khathiar_Gir_dry_deciduous_forests,1.0,1.0,1.0,48,28,20
Lower_Gangetic_Plains_moist_deciduous_forests,1.0,1.0,1.0,18,9,9
Malabar_Coast_moist_forests,1.0,1.0,1.0,136,84,52
Narmada_Valley_dry_deciduous_forests,1.0,1.0,1.0,31,17,14
North_Western_Ghats_moist_deciduous_forests,1.0,1.0,1.0,17,6,11
North_Western_Ghats_montane_rain_forests,0.967741935483871,1.0,0.8888888888888888,31,22,9
Orissa_semi_evergreen_forests,0.9,1.0,0.8,10,5,5
South_Deccan_Plateau_dry_deciduous_forests,1.0,1.0,1.0,65,28,37
South_Western_Ghats_moist_deciduous_forests,0.9696969696969697,0.96,1.0,33,25,8
South_Western_Ghats_montane_rain_forests,0.9655172413793104,1.0,0.8571428571428571,58,44,14
Sundarbans_freshwater_swamp_forests,1.0,1.0,1.0,12,8,4
Upper_Gangetic_Plains_moist_deciduous_forests,1.0,1.0,1.0,30,9,21
Western_Himalayan_broadleaf_forests,1.0,0.0,1.0,10,0,10
