ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Aravalli_west_thorn_scrub_forests,0.84,0.6666666666666666,0.8636363636363636,25,3,22
Brahmaputra_Valley_semi_evergreen_forests,0.8333333333333334,0.75,1.0,12,8,4
Central_Deccan_Plateau_dry_deciduous_forests,0.9583333333333334,1.0,0.9285714285714286,48,20,28
Chhota_Nagpur_dry_deciduous_forests,1.0,1.0,1.0,10,3,7
Deccan_thorn_scrub_forests,0.8269230769230769,0.8181818181818182,0.8292682926829268,52,11,41
East_Deccan_dry_evergreen_forests,0.8823529411764706,1.0,0.75,17,9,8
East_Deccan_moist_deciduous_forests,0.896551724137931,0.875,0.9230769230769231,29,16,13
Khathiar_Gir_dry_deciduous_forests,0.9375,0.9285714285714286,0.95,48,28,20
Lower_Gangetic_Plains_moist_deciduous_forests,1.0,1.0,1.0,18,9,9
Malabar_Coast_moist_forests,0.9705882352941176,0.9642857142857143,0.9807692307692307,136,84,52
Narmada_Valley_dry_deciduous_forests,0.967741935483871,1.0,0.9285714285714286,31,17,14
North_Western_Ghats_moist_deciduous_forests,0.9411764705882353,0.8333333333333334,1.0,17,6,11
North_Western_Ghats_montane_rain_forests,0.9354838709677419,1.0,0.7777777777777778,31,22,9
Orissa_semi_evergreen_forests,1.0,1.0,1.0,10,5,5
South_Deccan_Plateau_dry_deciduous_forests,0.9538461538461539,0.9642857142857143,0.9459459459459459,65,28,37
South_Western_Ghats_moist_deciduous_forests,0.9393939393939394,0.92,1.0,33,25,8
South_Western_Ghats_montane_rain_forests,0.9655172413793104,1.0,0.8571428571428571,58,44,14
Sundarbans_freshwater_swamp_forests,1.0,1.0,1.0,12,8,4
Upper_Gangetic_Plains_moist_deciduous_forests,0.9,0.6666666666666666,1.0,30,9,21
Western_Himalayan_broadleaf_forests,1.0,0.0,1.0,10,0,10
