ecoregion,accuracy,tpr,tnr,n_test_points,n_presence_test,n_absence_test
Aravalli_west_thorn_scrub_forests,0.5517241379310345,1.0,0.38095238095238093,29,8,21
Central_Deccan_Plateau_dry_deciduous_forests,0.6666666666666666,0.8235294117647058,0.46153846153846156,30,17,13
Deccan_thorn_scrub_forests,0.6666666666666666,0.8333333333333334,0.6,42,12,30
East_Deccan_dry_evergreen_forests,0.6923076923076923,1.0,0.42857142857142855,13,6,7
East_Deccan_moist_deciduous_forests,0.6206896551724138,0.9333333333333333,0.2857142857142857,29,15,14
Khathiar_Gir_dry_deciduous_forests,0.84375,1.0,0.6666666666666666,32,17,15
Lower_Gangetic_Plains_moist_deciduous_forests,0.5294117647058824,0.875,0.2222222222222222,17,8,9
Malabar_Coast_moist_forests,0.8289473684210527,1.0,0.43478260869565216,76,53,23
Narmada_Valley_dry_deciduous_forests,0.6896551724137931,0.8235294117647058,0.5,29,17,12
North_Western_Ghats_moist_deciduous_forests,0.8,1.0,0.6,10,5,5
North_Western_Ghats_montane_rain_forests,0.7692307692307693,1.0,0.25,13,9,4
Orissa_semi_evergreen_forests,0.5,1.0,0.14285714285714285,12,5,7
South_Deccan_Plateau_dry_deciduous_forests,0.7142857142857143,0.96,0.35294117647058826,42,25,17
South_Western_Ghats_moist_deciduous_forests,0.9,1.0,0.7142857142857143,20,13,7
South_Western_Ghats_montane_rain_forests,0.6875,1.0,0.375,16,8,8
Upper_Gangetic_Plains_moist_deciduous_forests,0.7083333333333334,1.0,0.5,24,10,14
