kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,annual_mean_temperature,mean_diurnal_range,isothermality,temperature_seasonality,max_temperature_warmest_month,min_temperature_coldest_month,temperature_annual_range,mean_temperature_wettest_quarter,mean_temperature_driest_quarter,mean_temperature_warmest_quarter,mean_temperature_coldest_quarter,annual_precipitation,precipitation_wettest_month,precipitation_driest_month,precipitation_seasonality,precipitation_wettest_quarter,precipitation_driest_quarter,precipitation_warmest_quarter,precipitation_coldest_quarter,aridity_index,topsoil_ph,subsoil_ph,topsoil_texture,subsoil_texture,elevation,reliability_score
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus trionum,34.083333,74.8,0.6167076167076168,0.6513761467889908,0.303030303030303,0.5098808879263671,0.6539509536784741,0.562396006655574,0.549889135254989,0.5555555555555556,0.6309523809523809,0.6782608695652174,0.5777385159010601,0.0728740694138618,0.0432559968541093,0.2873563218390804,0.0615384615384615,0.0440105377343871,0.3322033898305084,0.0295987286452125,0.0330867242087957,0.0802705040496972,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.228268652441644,0.7742981314169488
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus americanus,16.5,77.099998,0.905852417302799,0.6722689075630253,0.3088235294117647,0.4774061306251747,0.923943661971831,0.7110266159695817,0.6885714285714286,0.8907922912205567,0.7389558232931727,0.9205882352941176,0.8118609406952966,0.0593566377850811,0.0754648195406489,0.0055555555555555,0.8875739644970414,0.076934392468373,0.0098039215686274,0.0101389410439354,0.0012494793835901,0.0308586899670799,0.7951806931281792,0.8433734745950935,0.6666666666666666,0.6923076923076923,0.0716262975778546,0.7734052414170169
Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea pes-caprae,10.948207,79.18772,0.952112676056338,0.1696428571428571,0.9565217391304348,0.0418760469011725,0.7026239067055393,0.9738430583501008,0.0567164179104477,0.8747203579418344,0.91875,0.8290322580645161,0.9890350877192984,0.2811739074714853,0.1554915672562731,0.4042553191489361,0.1954887218045112,0.1818355640535373,0.572139303482587,0.108605050257416,0.0621039290240811,0.2065816866941816,0.5903614437066171,0.6024096247107811,0.6666666666666666,0.2307692307692307,0.0058470290771175,0.7589113630616756
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Grona,Grona heterophylla,10.058704,76.328131,0.9495798319327732,0.1964285714285714,0.9166666666666666,0.0534042762833776,0.7201166180758017,0.971830985915493,0.0776119402985074,0.854586129753915,0.9333333333333332,0.8237179487179487,0.9846491228070176,0.4189414327822632,0.3187755102040816,0.2765957446808511,0.4135338345864661,0.3418757786082932,0.373134328358209,0.1348369698455503,0.3021852237252861,0.3041243689515027,0.5903614437066171,0.6024096247107811,0.6666666666666666,0.2307692307692307,0.0017383059418457,0.7494440939062457
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cyanthillium,Cyanthillium cinereum,19.151982,72.858144,0.8704225352112676,0.7410714285714286,0.4130434782608695,0.4364359261902334,0.9387755102040816,0.7113821138211383,0.6987951807228916,0.8478747203579419,0.7458333333333333,0.8935483870967742,0.8114035087719298,0.1778803024477765,0.1949814890991361,0.0638297872340425,0.7593984962406015,0.2187380497131931,0.1919191919191919,0.0370188771757783,0.0080270384452893,0.1286569998904269,0.9518072185330858,0.9759036379916722,1.0,0.2307692307692307,0.0815423514538558,0.7710259145836275
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Codiaeum,Codiaeum variegatum,24.151358,91.808776,0.8854166666666666,0.5420560747663551,0.56,0.3005930318754633,0.6801242236024845,0.7320754716981132,0.4629629629629629,0.86,0.7723735408560312,0.802547770700637,0.8357289527720739,0.2184553660982948,0.1642228739002932,0.1136363636363636,0.3174603174603174,0.1651878142561372,0.2512820512820513,0.1668239290432157,0.0121047430830039,0.2084953358639025,0.6144578057149449,0.6265059867191088,0.6666666666666666,0.6923076923076923,0.0087766433816944,0.7416032816813352
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Bauhinia phoenicea,9.61983,76.885157,0.8440111420612814,0.5526315789473685,0.7551020408163265,0.1530986613782845,0.7160493827160493,0.802,0.3488372093023256,0.7930232558139535,0.8394004282655246,0.738255033557047,0.8703296703296703,0.0727017824954937,0.0559619604974396,0.0128205128205128,0.362962962962963,0.0606284112700988,0.03690036900369,0.0218373493975903,0.0129469790382244,0.0561949898442789,0.746987911661265,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1748522895125553,0.7489357598249288
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia leucantha,32.721352,74.868469,0.8045977011494253,0.6261682242990654,0.2444444444444444,0.6467615511551155,0.9007936507936508,0.603448275862069,0.7817589576547231,0.9272300469483568,0.653125,0.8834080717488789,0.6693121693121693,0.1160478798945019,0.1244427934621099,0.2093023255813953,0.5307692307692308,0.1219657483246463,0.4148936170212766,0.0729246001523229,0.0371968762844225,0.1090308540029943,0.746987911661265,0.7349397306571012,0.3333333333333333,0.7692307692307693,0.0917534477905994,0.774581309542114
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mucuna,Mucuna pruriens,13.374158,77.212713,0.9192200557103064,0.5789473684210527,0.5306122448979592,0.2794248884481903,0.8827160493827161,0.804,0.502906976744186,0.8624708624708625,0.8304721030042919,0.8821548821548821,0.8923076923076924,0.1038028169014084,0.0711430855315747,0.0384615384615384,0.4962406015037593,0.1001615508885298,0.051660516605166,0.0403009134873723,0.0053431976983148,0.0576804797416775,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1129543336439888,0.750916835505974
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria attenuata,9.31206,76.5934,0.8607242339832869,0.5526315789473685,0.7551020408163265,0.1468517600396628,0.7376543209876543,0.816,0.3488372093023256,0.8069767441860465,0.8565310492505354,0.7583892617449665,0.8857142857142857,0.072148800783162,0.0581565471836137,0.0128205128205128,0.3777777777777777,0.0609394837071519,0.025830258302583,0.023805130097804,0.0119194410193177,0.0529943989659629,0.9156626180703354,0.0,0.6666666666666666,0.0,0.156573116691285,0.7754897933213682
Plantae,Tracheophyta,Magnoliopsida,Proteales,Proteaceae,Grevillea,Grevillea robusta,30.132271,74.106494,0.875,0.4205607476635514,0.3414634146341463,0.4147091722595078,0.6814159292035398,0.6741935483870968,0.4722222222222222,0.8686868686868687,0.6203007518796992,0.7616580310880829,0.7926421404682275,0.1964771588142632,0.1037428803905614,0.073170731707317,0.4453125,0.1626083367725959,0.2134146341463414,0.1014610389610389,0.0071927661323468,0.1487311275297141,0.6987951876446095,0.7108433686487734,1.0,0.2307692307692307,0.0051646223369916,0.7556265244092067
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,Alternanthera ficoidea,12.842403,77.726986,0.9069767441860463,0.5714285714285714,0.5106382978723404,0.2769545222278998,0.8769716088328076,0.8146551724137931,0.4847560975609756,0.8765432098765432,0.8005050505050505,0.8798586572438163,0.8804597701149425,0.1218674905595605,0.0663469224620303,0.073170731707317,0.4806201550387597,0.0961227786752827,0.0742574257425742,0.0579243765084473,0.0055498458376156,0.0784982047145756,0.7710843311198514,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1213257052673111,0.7492371141560191
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Waltheria,Waltheria indica,13.746766,79.472839,0.9380281690140844,0.3571428571428571,0.6521739130434783,0.1514935263533489,0.7521865889212828,0.8841463414634146,0.25,0.8903803131991052,0.8791666666666667,0.8451612903225807,0.9364035087719298,0.4669998718441625,0.6067461949814891,0.0,0.8721804511278195,0.5852772466539197,0.0,0.152243196861976,0.0004224757076468,0.3134153913583403,0.746987911661265,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.0053729456384323,0.7594488056924871
Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calanthe,Calanthe masuca,8.529195,77.358341,0.947075208913649,0.2017543859649122,0.8979591836734694,0.0581060981655924,0.6882716049382716,0.952,0.1046511627906976,0.8604651162790697,0.9357601713062098,0.8187919463087249,0.9824175824175824,0.4434624017957351,0.3369218500797448,0.0512820512820512,0.5407407407407407,0.4260116770686531,0.1070110701107011,0.1015583019881784,0.3220304151253596,0.3069695048135124,0.6506024061776953,0.6265059867191088,0.3333333333333333,0.9230769230769232,0.0042466765140324,0.7578901201483985
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Dactyloctenium,Dactyloctenium aegyptium,13.667517,79.601508,0.9944289693593314,0.4298245614035088,0.7755102040816326,0.1742191373326722,0.8240740740740741,0.928,0.2674418604651162,0.9069767441860463,0.9293361884368307,0.9093959731543624,0.9758241758241758,0.1095679012345679,0.0761562998405103,0.1153846153846153,0.3259259259259259,0.0855647271995168,0.1365313653136531,0.0311660397635679,0.0460337032470201,0.0543802002267443,0.8795180750578437,0.9036144370661716,0.6666666666666666,0.6923076923076923,0.0162481536189069,0.7518387434372406
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Jatropha,Jatropha multifida,23.087892,72.620113,0.859375,0.5700934579439252,0.74,0.1473313565604151,0.7236024844720497,0.8226415094339623,0.3462686567164179,0.7487562189054726,0.857976653696498,0.7547169811320755,0.8829568788501027,0.0648946840521564,0.0524193548387096,0.0227272727272727,0.3888888888888889,0.0557527358769594,0.0256410256410256,0.0169715255515745,0.0101394169835234,0.0538949762567042,0.746987911661265,0.7590361501156876,0.6666666666666666,0.3846153846153846,0.1651441877126992,0.7493812078354282
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Celosia,Celosia argentea,21.703034,83.388288,0.8743016759776536,0.7017543859649122,0.3958333333333333,0.5903493843227551,0.9012345679012346,0.672,0.7122093023255814,0.9385342789598108,0.9397849462365592,0.928082191780822,0.7516483516483516,0.1371112196710633,0.118705035971223,0.0641025641025641,0.7218045112781954,0.1415589660743134,0.1217712177121771,0.1049685094471658,0.0113029182079736,0.0969010392285366,0.746987911661265,0.746987911661265,0.6666666666666666,0.3846153846153846,0.0435921421889616,0.7662841953447572
