ecoregion,genus,model,loss_function,model_loss,accuracy,tnr
Aravalli_west_thorn_scrub_forests,Macaranga,LR,Dice,LR_Dice,0.3,0.3
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,LR,Dice,LR_Dice,0.0833333333333333,0.0909090909090909
Deccan_thorn_scrub_forests,Macaranga,LR,Dice,LR_Dice,0.0,0.0
Khathiar_Gir_dry_deciduous_forests,Macaranga,LR,Dice,LR_Dice,0.2142857142857142,0.2307692307692307
Malabar_Coast_moist_forests,Macaranga,LR,Dice,LR_Dice,0.8650793650793651,0.0555555555555555
North_Western_Ghats_montane_rain_forests,Macaranga,LR,Dice,LR_Dice,0.5882352941176471,0.0
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,LR,Dice,LR_Dice,0.3043478260869565,0.238095238095238
South_Western_Ghats_moist_deciduous_forests,Macaranga,LR,Dice,LR_Dice,0.6666666666666666,0.2
South_Western_Ghats_montane_rain_forests,Macaranga,LR,Dice,LR_Dice,1.0,0.0
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,LR,Dice,LR_Dice,0.1666666666666666,0.1666666666666666
Aravalli_west_thorn_scrub_forests,Macaranga,LR,Focal,LR_Focal,0.3,0.3
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,LR,Focal,LR_Focal,0.0833333333333333,0.0909090909090909
Deccan_thorn_scrub_forests,Macaranga,LR,Focal,LR_Focal,0.0,0.0
Khathiar_Gir_dry_deciduous_forests,Macaranga,LR,Focal,LR_Focal,0.2142857142857142,0.2307692307692307
Malabar_Coast_moist_forests,Macaranga,LR,Focal,LR_Focal,0.8650793650793651,0.0555555555555555
North_Western_Ghats_montane_rain_forests,Macaranga,LR,Focal,LR_Focal,0.5882352941176471,0.0
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,LR,Focal,LR_Focal,0.3043478260869565,0.238095238095238
South_Western_Ghats_moist_deciduous_forests,Macaranga,LR,Focal,LR_Focal,0.6666666666666666,0.2
South_Western_Ghats_montane_rain_forests,Macaranga,LR,Focal,LR_Focal,1.0,0.0
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,LR,Focal,LR_Focal,0.1666666666666666,0.1666666666666666
Aravalli_west_thorn_scrub_forests,Macaranga,LR,Tversky,LR_Tversky,0.3,0.3
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,LR,Tversky,LR_Tversky,0.0833333333333333,0.0909090909090909
Deccan_thorn_scrub_forests,Macaranga,LR,Tversky,LR_Tversky,0.0,0.0
Khathiar_Gir_dry_deciduous_forests,Macaranga,LR,Tversky,LR_Tversky,0.2142857142857142,0.2307692307692307
Malabar_Coast_moist_forests,Macaranga,LR,Tversky,LR_Tversky,0.8650793650793651,0.0555555555555555
North_Western_Ghats_montane_rain_forests,Macaranga,LR,Tversky,LR_Tversky,0.5882352941176471,0.0
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,LR,Tversky,LR_Tversky,0.3043478260869565,0.238095238095238
South_Western_Ghats_moist_deciduous_forests,Macaranga,LR,Tversky,LR_Tversky,0.6666666666666666,0.2
South_Western_Ghats_montane_rain_forests,Macaranga,LR,Tversky,LR_Tversky,1.0,0.0
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,LR,Tversky,LR_Tversky,0.1666666666666666,0.1666666666666666
Aravalli_west_thorn_scrub_forests,Macaranga,RF,Dice,RF_Dice,0.9,0.9
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.9166666666666666,0.9090909090909092
Deccan_thorn_scrub_forests,Macaranga,RF,Dice,RF_Dice,0.9166666666666666,0.9166666666666666
Khathiar_Gir_dry_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.9285714285714286,0.9230769230769232
Malabar_Coast_moist_forests,Macaranga,RF,Dice,RF_Dice,1.0,1.0
North_Western_Ghats_montane_rain_forests,Macaranga,RF,Dice,RF_Dice,0.9411764705882352,1.0
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.8695652173913043,0.9047619047619048
South_Western_Ghats_moist_deciduous_forests,Macaranga,RF,Dice,RF_Dice,1.0,1.0
South_Western_Ghats_montane_rain_forests,Macaranga,RF,Dice,RF_Dice,0.8125,0.0
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,RF,Dice,RF_Dice,0.8333333333333334,0.8333333333333334
Aravalli_west_thorn_scrub_forests,Macaranga,RF,Focal,RF_Focal,1.0,1.0
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Focal,RF_Focal,0.8333333333333334,0.8181818181818182
Deccan_thorn_scrub_forests,Macaranga,RF,Focal,RF_Focal,0.9166666666666666,0.9166666666666666
Khathiar_Gir_dry_deciduous_forests,Macaranga,RF,Focal,RF_Focal,0.8571428571428571,0.8461538461538461
Malabar_Coast_moist_forests,Macaranga,RF,Focal,RF_Focal,0.9761904761904762,0.8333333333333334
North_Western_Ghats_montane_rain_forests,Macaranga,RF,Focal,RF_Focal,0.9411764705882352,0.8571428571428571
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Focal,RF_Focal,0.9130434782608696,0.9047619047619048
South_Western_Ghats_moist_deciduous_forests,Macaranga,RF,Focal,RF_Focal,0.8333333333333334,0.6
South_Western_Ghats_montane_rain_forests,Macaranga,RF,Focal,RF_Focal,1.0,0.0
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,RF,Focal,RF_Focal,0.9166666666666666,0.9166666666666666
Aravalli_west_thorn_scrub_forests,Macaranga,RF,Tversky,RF_Tversky,0.9,0.9
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Tversky,RF_Tversky,0.9166666666666666,0.9090909090909092
Deccan_thorn_scrub_forests,Macaranga,RF,Tversky,RF_Tversky,0.9166666666666666,0.9166666666666666
Khathiar_Gir_dry_deciduous_forests,Macaranga,RF,Tversky,RF_Tversky,0.9285714285714286,0.9230769230769232
Malabar_Coast_moist_forests,Macaranga,RF,Tversky,RF_Tversky,1.0,1.0
North_Western_Ghats_montane_rain_forests,Macaranga,RF,Tversky,RF_Tversky,0.9411764705882352,1.0
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Tversky,RF_Tversky,0.8695652173913043,0.9047619047619048
South_Western_Ghats_moist_deciduous_forests,Macaranga,RF,Tversky,RF_Tversky,1.0,1.0
South_Western_Ghats_montane_rain_forests,Macaranga,RF,Tversky,RF_Tversky,0.8125,0.0
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,RF,Tversky,RF_Tversky,0.8333333333333334,0.8333333333333334
Aravalli_west_thorn_scrub_forests,Macaranga,WLR,Dice,WLR_Dice,0.3,0.3
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,WLR,Dice,WLR_Dice,0.0833333333333333,0.0909090909090909
Deccan_thorn_scrub_forests,Macaranga,WLR,Dice,WLR_Dice,0.0,0.0
Khathiar_Gir_dry_deciduous_forests,Macaranga,WLR,Dice,WLR_Dice,0.2142857142857142,0.2307692307692307
Malabar_Coast_moist_forests,Macaranga,WLR,Dice,WLR_Dice,0.8650793650793651,0.0555555555555555
North_Western_Ghats_montane_rain_forests,Macaranga,WLR,Dice,WLR_Dice,0.5882352941176471,0.0
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,WLR,Dice,WLR_Dice,0.3043478260869565,0.238095238095238
South_Western_Ghats_moist_deciduous_forests,Macaranga,WLR,Dice,WLR_Dice,0.6666666666666666,0.2
South_Western_Ghats_montane_rain_forests,Macaranga,WLR,Dice,WLR_Dice,1.0,0.0
