ecoregion,genus,model,loss_function,model_loss,accuracy,tnr
Aravalli_west_thorn_scrub_forests,Artemisia,RF,Dice,RF_Dice,0.7894736842105263,0.8823529411764706
Central_Deccan_Plateau_dry_deciduous_forests,Artemisia,RF,Dice,RF_Dice,0.9333333333333332,0.9166666666666666
Deccan_thorn_scrub_forests,Artemisia,RF,Dice,RF_Dice,0.9523809523809524,0.9523809523809524
East_Deccan_moist_deciduous_forests,Artemisia,RF,Dice,RF_Dice,1.0,1.0
Karakoram_West_Tibetan_Plateau_alpine_steppe,Artemisia,RF,Dice,RF_Dice,1.0,1.0
Khathiar_Gir_dry_deciduous_forests,Artemisia,RF,Dice,RF_Dice,0.9166666666666666,1.0
Malabar_Coast_moist_forests,Artemisia,RF,Dice,RF_Dice,1.0,1.0
Northwestern_Himalayan_alpine_shrub_and_meadows,Artemisia,RF,Dice,RF_Dice,1.0,1.0
South_Deccan_Plateau_dry_deciduous_forests,Artemisia,RF,Dice,RF_Dice,0.9047619047619048,0.9047619047619048
South_Western_Ghats_montane_rain_forests,Artemisia,RF,Dice,RF_Dice,0.9,1.0
Upper_Gangetic_Plains_moist_deciduous_forests,Artemisia,RF,Dice,RF_Dice,1.0,1.0
Western_Himalayan_broadleaf_forests,Artemisia,RF,Dice,RF_Dice,1.0,1.0
Deccan_thorn_scrub_forests,Memecylon,RF,Dice,RF_Dice,0.9230769230769232,1.0
East_Deccan_dry_evergreen_forests,Memecylon,RF,Dice,RF_Dice,0.6,0.75
Malabar_Coast_moist_forests,Memecylon,RF,Dice,RF_Dice,0.8571428571428571,1.0
North_Western_Ghats_moist_deciduous_forests,Memecylon,RF,Dice,RF_Dice,1.0,1.0
North_Western_Ghats_montane_rain_forests,Memecylon,RF,Dice,RF_Dice,0.9375,1.0
South_Deccan_Plateau_dry_deciduous_forests,Memecylon,RF,Dice,RF_Dice,0.9090909090909092,0.8571428571428571
South_Western_Ghats_montane_rain_forests,Memecylon,RF,Dice,RF_Dice,0.9375,1.0
