ecoregion,genus,model,loss_function,model_loss,accuracy,tnr
Aravalli_west_thorn_scrub_forests,Macaranga,LR,Dice,LR_Dice,0.24826704423883295,0.5
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,LR,Dice,LR_Dice,0.06572207256761503,0.5
Deccan_thorn_scrub_forests,Macaranga,LR,Dice,LR_Dice,0.0,0.5
Khathiar_Gir_dry_deciduous_forests,Macaranga,LR,Dice,LR_Dice,0.1695605487164597,0.5
Malabar_Coast_moist_forests,Macaranga,LR,Dice,LR_Dice,1.0,0.5
North_Western_Ghats_montane_rain_forests,Macaranga,LR,Dice,LR_Dice,0.44033341617872185,0.5
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,LR,Dice,LR_Dice,0.24101855646383452,0.5
South_Western_Ghats_moist_deciduous_forests,Macaranga,LR,Dice,LR_Dice,0.7647625887900413,0.5
South_Western_Ghats_montane_rain_forests,Macaranga,LR,Dice,LR_Dice,1.0,0.5
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,LR,Dice,LR_Dice,0.2048887805839273,0.5
Aravalli_west_thorn_scrub_forests,Macaranga,LR,Focal,LR_Focal,0.3602122382472314,0.5
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,LR,Focal,LR_Focal,0.06671963744550614,0.5
Deccan_thorn_scrub_forests,Macaranga,LR,Focal,LR_Focal,0.0,0.5
Khathiar_Gir_dry_deciduous_forests,Macaranga,LR,Focal,LR_Focal,0.16236318126200644,0.5
Malabar_Coast_moist_forests,Macaranga,LR,Focal,LR_Focal,1.0,0.5
North_Western_Ghats_montane_rain_forests,Macaranga,LR,Focal,LR_Focal,0.443843311584728,0.5
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,LR,Focal,LR_Focal,0.25443168672662947,0.5
South_Western_Ghats_moist_deciduous_forests,Macaranga,LR,Focal,LR_Focal,0.5045508287998782,0.5
South_Western_Ghats_montane_rain_forests,Macaranga,LR,Focal,LR_Focal,0.7879039596320264,0.5
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,LR,Focal,LR_Focal,0.1300513765435826,0.5
Aravalli_west_thorn_scrub_forests,Macaranga,LR,Tversky,LR_Tversky,0.22863298154486167,0.5
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,LR,Tversky,LR_Tversky,0.09627346101346532,0.5
Deccan_thorn_scrub_forests,Macaranga,LR,Tversky,LR_Tversky,0.0,0.5
Khathiar_Gir_dry_deciduous_forests,Macaranga,LR,Tversky,LR_Tversky,0.16832502645664713,0.5
Malabar_Coast_moist_forests,Macaranga,LR,Tversky,LR_Tversky,0.6662317921084272,0.5
North_Western_Ghats_montane_rain_forests,Macaranga,LR,Tversky,LR_Tversky,0.7040688178531976,0.5
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,LR,Tversky,LR_Tversky,0.34867658397503976,0.5
South_Western_Ghats_moist_deciduous_forests,Macaranga,LR,Tversky,LR_Tversky,0.5432816949352016,0.5
South_Western_Ghats_montane_rain_forests,Macaranga,LR,Tversky,LR_Tversky,0.7781848334120363,0.5
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,LR,Tversky,LR_Tversky,0.13673596160698134,0.5
