ecoregion,genus,model,loss_function,model_loss,accuracy,tnr
Aravalli_west_thorn_scrub_forests,Artemisia,RF,Dice,RF_Dice,0.6216880491640334,0.6490146318886852
Central_Deccan_Plateau_dry_deciduous_forests,Artemisia,RF,Dice,RF_Dice,0.6979061240932781,1.0
Deccan_thorn_scrub_forests,Artemisia,RF,Dice,RF_Dice,0.780832078537657,0.6859956393197008
East_Deccan_moist_deciduous_forests,Artemisia,RF,Dice,RF_Dice,1.0,0.7291491978459521
Karakoram_West_Tibetan_Plateau_alpine_steppe,Artemisia,RF,Dice,RF_Dice,0.8110522142790121,0.7744858286958852
Khathiar_Gir_dry_deciduous_forests,Artemisia,RF,Dice,RF_Dice,0.763700253099684,0.5999622530754082
Malabar_Coast_moist_forests,Artemisia,RF,Dice,RF_Dice,0.765291492720855,0.65170468613168
Northwestern_Himalayan_alpine_shrub_and_meadows,Artemisia,RF,Dice,RF_Dice,0.8176667884152122,1.0
South_Deccan_Plateau_dry_deciduous_forests,Artemisia,RF,Dice,RF_Dice,0.7201814299165186,0.5770801187503674
South_Western_Ghats_montane_rain_forests,Artemisia,RF,Dice,RF_Dice,1.0,0.6475182768246805
Upper_Gangetic_Plains_moist_deciduous_forests,Artemisia,RF,Dice,RF_Dice,1.0,1.0
Western_Himalayan_broadleaf_forests,Artemisia,RF,Dice,RF_Dice,1.0,0.6920514425247406
Deccan_thorn_scrub_forests,Memecylon,RF,Dice,RF_Dice,0.9245005492389387,1.0
East_Deccan_dry_evergreen_forests,Memecylon,RF,Dice,RF_Dice,0.5041209686940726,0.6424082501857574
Malabar_Coast_moist_forests,Memecylon,RF,Dice,RF_Dice,0.8959496111740268,1.0
North_Western_Ghats_moist_deciduous_forests,Memecylon,RF,Dice,RF_Dice,1.0,1.0
North_Western_Ghats_montane_rain_forests,Memecylon,RF,Dice,RF_Dice,0.9624008646290855,1.0
South_Deccan_Plateau_dry_deciduous_forests,Memecylon,RF,Dice,RF_Dice,0.949326618279835,0.8681954538082924
South_Western_Ghats_montane_rain_forests,Memecylon,RF,Dice,RF_Dice,0.8017321126958044,0.8679190615445932
