ecoregion,species,model,loss_function,model_loss,accuracy,tpr
Central_Deccan_Plateau_dry_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.8220419092707849,0.6503700067933365
Deccan_thorn_scrub_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.7937706430644952,0.8367286810201571
East_Deccan_moist_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.8889384118321688,0.8673293766598649
Khathiar_Gir_dry_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.7359406118430825,0.5984217251209195
Lower_Gangetic_Plains_moist_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.723789271172875,0.8246736752323455
Malabar_Coast_moist_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.6551694612269706,0.8623292015963876
Narmada_Valley_dry_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.6739556979224672,0.6827206601360102
South_Deccan_Plateau_dry_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.6810103744864417,0.7829385563130709
Upper_Gangetic_Plains_moist_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.8122025673301083,0.865253727461089
Aravalli_west_thorn_scrub_forests,Syzygium cumini,RF,Dice,RF_Dice,0.7251110901178871,0.4889680273456699
Central_Deccan_Plateau_dry_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.8870639841102523,0.7825598010005992
Deccan_thorn_scrub_forests,Syzygium cumini,RF,Dice,RF_Dice,0.8906172891144584,0.8269006908109826
East_Deccan_dry_evergreen_forests,Syzygium cumini,RF,Dice,RF_Dice,0.8932351692657908,0.7894054086417085
East_Deccan_moist_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.7516138249403501,0.7740701828536506
Khathiar_Gir_dry_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.7960588559972281,0.8160237689742333
Lower_Gangetic_Plains_moist_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.7421749005283174,0.7907168701095652
Malabar_Coast_moist_forests,Syzygium cumini,RF,Dice,RF_Dice,0.7638006794256406,0.7995485619674505
Narmada_Valley_dry_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.8268747368835702,0.8004856749277123
North_Western_Ghats_moist_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9180102940403893,0.8124724702021582
North_Western_Ghats_montane_rain_forests,Syzygium cumini,RF,Dice,RF_Dice,0.7839981301995832,0.8324062298078199
Orissa_semi_evergreen_forests,Syzygium cumini,RF,Dice,RF_Dice,0.7566550984558063,0.793884691041868
South_Deccan_Plateau_dry_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.8030406891835715,0.908018286813959
South_Western_Ghats_moist_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.7788155838534913,0.9862922847994102
South_Western_Ghats_montane_rain_forests,Syzygium cumini,RF,Dice,RF_Dice,0.9002781284461469,0.8758306004411437
Upper_Gangetic_Plains_moist_deciduous_forests,Syzygium cumini,RF,Dice,RF_Dice,0.7694405210591132,0.8395490621444548
